"answer_id","user_id","question_id","selected_choice","evaluated_correct_choice","is_correct","answer_time_seconds","confidence_level","self_reported_mistake_reason","syllabus_version","evaluation_date","answered_at"
"13e1c26a-c398-4944-8b67-e8ee38604935","user_001","q_002","a","a","true","4","unsure",,"シラバスVer.6.0","2026-07-05T09:33:30.020Z","2026-07-05T09:33:30.020Z"
"1520fcb0-da34-41e1-a04f-9c8c06fe0962","user_001","q_001","b","a","false","3","confident",,"シラバスVer.6.2","2026-07-05T09:33:38.245Z","2026-07-05T09:33:38.245Z"
"106cf7cd-dc8e-4db8-b911-53d82b2791a3","user_001","q_001","b","a","false","8","unsure",,"シラバスVer.6.2","2026-07-05T09:33:42.585Z","2026-07-05T09:33:42.585Z"
"4948e3a0-d9e1-49dd-a203-1648154a512e","user_001","q_001","c","a","false","11","unsure",,"シラバスVer.6.2","2026-07-05T09:33:46.434Z","2026-07-05T09:33:46.434Z"
"b054fcf4-0497-427c-a9c5-25b5be21ba26","user_001","q_001","b","a","false","33","confident",,"シラバスVer.6.2","2026-07-05T09:34:07.748Z","2026-07-05T09:34:07.748Z"
"eeb3b0b7-a5b6-4818-a568-8907787ecb92","user_001","q_002","c","a","false","3","unsure",,"シラバスVer.6.0","2026-07-05T09:34:21.087Z","2026-07-05T09:34:21.087Z"
"19f30cdc-754b-427d-b4a2-8c26cc74ca56","user_001","q_003","b","b","true","4","confident",,"シラバスVer.6.2","2026-07-05T10:17:53.586Z","2026-07-05T10:17:53.586Z"
"029683e8-e9a2-4ea2-8d62-d3eba80df250","user_001","q_003","b","b","true","2","confident",,"シラバスVer.6.2","2026-07-05T10:17:59.478Z","2026-07-05T10:17:59.478Z"
"455ed3fa-646f-4a71-b096-4f7da411c493","user_001","q_001","d","a","false","3","unsure",,"シラバスVer.6.2","2026-07-05T10:18:04.815Z","2026-07-05T10:18:04.815Z"
"0cc3e2a1-29ae-42a8-9233-483ce071a547","user_001","q_001","c","a","false","2","unsure",,"シラバスVer.6.2","2026-07-05T10:18:18.140Z","2026-07-05T10:18:18.140Z"
"50dbdaa9-e06d-43c0-be92-9fd0c03be771","user_001","82b239ff-927f-45bf-8486-656ac82a18b9","a","a","true","7","unsure",,"シラバスVer.6.5","2026-07-05T10:18:48.888Z","2026-07-05T10:18:48.888Z"
"3fac7f4c-0749-4ac3-aee0-54157b8bb0fe","user_001","82b239ff-927f-45bf-8486-656ac82a18b9","a","a","true","6","unsure",,"シラバスVer.6.5","2026-07-05T10:18:57.514Z","2026-07-05T10:18:57.514Z"
"abf37629-d58e-49f2-8566-488f079772c4","user_001","q_002","a","a","true","2",,,"シラバスVer.6.0","2026-07-05T10:22:56.787Z","2026-07-05T10:22:56.787Z"
"18569c17-5abe-4229-a462-2a5ffc04d79e","user_001","82b239ff-927f-45bf-8486-656ac82a18b9","c","a","false","2","confident",,"シラバスVer.6.5","2026-07-05T10:22:59.984Z","2026-07-05T10:22:59.984Z"
"78156abd-f4c4-4db6-92f4-09266f75575a","user_001","q_049","b","c","false","8",,,"シラバスVer.6.5","2026-07-05T11:08:47.323Z","2026-07-05T11:08:47.323Z"
"b18b7697-d925-4c5b-a890-c19e31ae7edd","user_001","q_098","b","d","false","2",,,"シラバスVer.6.5","2026-07-05T12:17:11.806Z","2026-07-05T12:17:11.806Z"
"65dea363-ec23-49b2-8851-0ca1096b9547","user_001","q_075","b","d","false","2",,,"シラバスVer.6.5","2026-07-05T12:17:20.629Z","2026-07-05T12:17:20.629Z"
"f01d655b-82c8-466f-a90e-1a9afcbf54f6","user_001","q_049","b","c","false","2",,,"シラバスVer.6.5","2026-07-05T12:17:26.752Z","2026-07-05T12:17:26.752Z"
"0670321a-270a-49e1-ac67-34d665a4dc12","user_001","q_067","c","c","true","2",,,"シラバスVer.6.5","2026-07-05T12:22:24.267Z","2026-07-05T12:22:24.267Z"
"98e0c687-2520-4d9c-8b89-8092fb4c0a22","user_001","q_077","c","c","true","1",,,"シラバスVer.6.5","2026-07-05T12:22:27.557Z","2026-07-05T12:22:27.557Z"
"fdc78f2a-68e4-4163-b7d9-a7ed020ced3e","user_001","q_085","c","b","false","4",,,"シラバスVer.6.5","2026-07-05T12:42:03.937Z","2026-07-05T12:42:03.937Z"
"40fa3e07-066e-48d1-a7d2-ed42ba052ba0","user_001","q_098","c","d","false","4",,,"シラバスVer.6.5","2026-07-05T14:05:45.280Z","2026-07-05T14:05:45.280Z"
"e8971cda-b3a8-419a-ac04-fd242633049b","user_001","q_108","c","b","false","3","unsure",,"シラバスVer.6.5","2026-07-05T14:05:57.789Z","2026-07-05T14:05:57.789Z"
"511474e4-11e3-4a8b-bec7-9acf294bbefc","user_001","q_061","c","c","true","3","unsure",,"シラバスVer.6.5","2026-07-05T14:06:05.326Z","2026-07-05T14:06:05.326Z"
"3c3ae881-e373-40be-8c58-74819fbce8c1","user_001","q_037","d","a","false","4","unknown",,"シラバスVer.6.5","2026-07-05T14:06:13.621Z","2026-07-05T14:06:13.621Z"
"0553937d-6414-4366-9ea7-9ed0a26822e5","user_001","q_099","d","d","true","3","unsure",,"シラバスVer.6.5","2026-07-05T14:06:22.757Z","2026-07-05T14:06:22.757Z"
"f7d913d7-e623-4f85-9004-1c245130ec79","user_001","q_093","a","d","false","2",,,"シラバスVer.6.5","2026-07-05T14:06:26.275Z","2026-07-05T14:06:26.275Z"
"c1c31a88-35d2-47af-939a-6723d426ae07","user_001","q_024","b","d","false","3","confident",,"シラバスVer.6.5","2026-07-05T14:06:35.376Z","2026-07-05T14:06:35.376Z"
"f2fc522d-805d-4088-9009-dce1e5dca949","user_001","q_109","c","a","false","3","unsure",,"シラバスVer.6.5","2026-07-05T14:06:43.746Z","2026-07-05T14:06:43.746Z"
"4aa97e7b-0949-4246-bf16-4a349bf3ffbb","user_001","q_021","d","c","false","4",,,"シラバスVer.6.5","2026-07-05T14:06:53.130Z","2026-07-05T14:06:53.130Z"
"92b135da-cbd0-49f8-9032-c64a387b5df9","user_001","q_058","c","b","false","3",,,"シラバスVer.6.5","2026-07-05T14:07:02.007Z","2026-07-05T14:07:02.007Z"
"da447ac2-ad6c-4290-bab4-c8ebc54ded79","user_001","q_053","a","a","true","15","confident",,"シラバスVer.6.5","2026-07-06T10:50:07.115Z","2026-07-06T10:50:07.115Z"
"e6633453-2035-468d-a197-2e5412721b97","user_001","q_091","c","d","false","12",,,"シラバスVer.6.5","2026-07-06T10:50:21.217Z","2026-07-06T10:50:21.217Z"
"b4f81b94-d7d8-4072-8d7a-7c781ed625a0","user_001","9b5c5f7c-c2a0-4b9e-b58f-ec7c978927f8","d","d","true","14",,,"シラバスVer.6.5","2026-07-06T10:50:46.829Z","2026-07-06T10:50:46.829Z"
"6cc5cf5f-6478-485e-a9be-f0e5fcbf142c","user_001","q_087","b","a","false","4",,,"シラバスVer.6.5","2026-07-06T10:50:52.496Z","2026-07-06T10:50:52.496Z"
"6e1a60f2-6723-447a-a5ca-95e0466a3c61","user_001","q_101","b","a","false","3",,,"シラバスVer.6.5","2026-07-07T12:48:44.975Z","2026-07-07T12:48:44.975Z"
"e1f0542f-1586-407b-b120-6acdeb2be3d8","user_001","e03815aa-1495-458e-8b34-a89ac9da5b61","c","a","false","7",,,"シラバスVer.6.5","2026-07-07T12:49:15.054Z","2026-07-07T12:49:15.054Z"
"091fdf69-f527-4b54-bd4b-aab3f76bb20c","user_001","q_083","d","d","true","3","confident",,"シラバスVer.6.5","2026-07-07T13:18:07.991Z","2026-07-07T13:18:07.991Z"
"b3e7a347-5cfb-4e5b-81bd-9286ded9fdb0","user_001","q_fe_r7koukai_16","c","d","false","6","unsure",,"シラバスVer.9.2","2026-07-08T15:42:48.372Z","2026-07-08T15:42:48.372Z"
"4419e0a9-f912-444f-a07e-9408d6dd35b7","user_001","toeic_sample_014","a","c","false","2",,,"N/A","2026-07-09T14:39:22.585Z","2026-07-09T14:39:22.585Z"
"b5a28f1d-3bc8-4b88-b3fb-cf115fbafd68","user_001","toeic_sample_005","a","a","true","13",,,"N/A","2026-07-09T14:41:30.339Z","2026-07-09T14:41:30.339Z"
"20fc3012-0454-47a9-b70f-0bbff6725ceb","user_001","toeic_sample_005","a","a","true","3",,,"N/A","2026-07-09T14:41:36.219Z","2026-07-09T14:41:36.219Z"
"57a9e0d2-4624-4c66-bee4-100837dda6ab","user_001","toeic_sample_021","c","c","true","3",,,"N/A","2026-07-10T13:55:13.162Z","2026-07-10T13:55:13.162Z"
"5974ae43-edc1-4574-aa5c-56ec1d3c2236","user_001","toeic_sample_018","b","a","false","5",,,"N/A","2026-07-10T13:55:19.696Z","2026-07-10T13:55:19.696Z"
"e73a1e8c-7693-4ea3-8f7d-907bbe96d890","user_001","toeic_sample_017","b","b","true","3",,,"N/A","2026-07-10T13:55:28.316Z","2026-07-10T13:55:28.316Z"
"6fe5acc5-f718-4ad7-9c02-8170b85e5bf7","user_001","toeic_sample_010","c","c","true","2",,,"N/A","2026-07-10T13:55:32.146Z","2026-07-10T13:55:32.146Z"
"549dbd43-6f29-40cb-9f64-06dcb590e1ee","user_001","toeic_sample_027","b","b","true","2",,,"N/A","2026-07-10T13:55:34.696Z","2026-07-10T13:55:34.696Z"
"7a47e817-b631-48b8-8d42-742ba9ca6889","user_001","toeic_sample_033","c","a","false","7",,,"N/A","2026-07-10T13:55:42.496Z","2026-07-10T13:55:42.496Z"
"7a31bb07-e395-4bbb-80c0-4445b1cdcd9b","user_001","toeic_sample_003","c","d","false","3","unsure",,"N/A","2026-07-10T14:06:19.935Z","2026-07-10T14:06:19.935Z"
"e6cf6b2d-80c9-41bd-998e-791be751d703","user_001","toeic_sample_002","c","b","false","3",,,"N/A","2026-07-10T14:06:28.526Z","2026-07-10T14:06:28.526Z"
"dbe1ac16-6369-4bc0-bd0c-1459d396b887","user_001","toeic_sample_019","c","a","false","3",,,"N/A","2026-07-10T14:06:36.732Z","2026-07-10T14:06:36.732Z"
"05e5f3a3-3cbe-405b-8aaa-15c3473e2dc3","user_001","toeic_sample_014","b","c","false","3",,,"N/A","2026-07-10T14:06:44.956Z","2026-07-10T14:06:44.956Z"
"b3f89ccc-d1bb-4a48-8e57-2f732847740f","user_001","toeic_sample_020","c","b","false","4",,,"N/A","2026-07-10T14:06:54.334Z","2026-07-10T14:06:54.334Z"
"7bbf016e-d282-4b46-9434-307c3b05c4fb","user_001","toeic_sample_015","b","a","false","3",,,"N/A","2026-07-10T14:07:02.553Z","2026-07-10T14:07:02.553Z"
"b590532b-332f-4612-b98a-be2ef32de0d7","user_001","toeic_sample_024","d","d","true","4","unknown",,"N/A","2026-07-10T14:07:11.355Z","2026-07-10T14:07:11.355Z"
"5e082298-f4ec-4762-beac-a576676a022d","user_001","toeic_sample_030","c","c","true","2",,,"N/A","2026-07-10T14:07:15.168Z","2026-07-10T14:07:15.168Z"
"63275e7c-4d2f-4e8c-a0d1-2b3056fd2f06","user_001","toeic_sample_018","d","a","false","3",,,"N/A","2026-07-10T14:07:18.688Z","2026-07-10T14:07:18.688Z"
"e375e07f-8983-4038-9c5d-81ab4a70ad79","user_001","toeic_sample_018","a","a","true","2",,,"N/A","2026-07-10T14:07:26.520Z","2026-07-10T14:07:26.520Z"
"5f17d1b6-8d0b-4d39-ad15-fb462aca365a","user_001","toeic_sample_019","c","a","false","3",,,"N/A","2026-07-10T14:21:14.662Z","2026-07-10T14:21:14.662Z"
"f6e79658-643f-4630-8759-62ea75ed9c9f","user_001","toeic_sample_031","c","b","false","5",,,"N/A","2026-07-10T14:21:25.124Z","2026-07-10T14:21:25.124Z"
"fb1b2a43-b686-4d67-a11c-f957f70d3169","user_001","toeic_sample_016","a","a","true","4",,,"N/A","2026-07-10T14:29:17.814Z","2026-07-10T14:29:17.814Z"
"7dc679f0-5d3f-44da-ad78-c44024bddeb6","user_001","toeic_sample_017","c","b","false","2",,,"N/A","2026-07-10T14:29:22.314Z","2026-07-10T14:29:22.314Z"
"dd06ebb2-0429-42ca-b912-8b259ab46115","user_001","toeic_sample_017","b","b","true","5",,,"N/A","2026-07-10T14:29:32.360Z","2026-07-10T14:29:32.360Z"
"a6776f0d-98f1-425b-9fe7-63657df3e591","user_001","toeic_sample_031","c","b","false","4",,,"N/A","2026-07-10T14:29:38.879Z","2026-07-10T14:29:38.879Z"
"2e92a427-49a8-4e2e-bbc7-7d2897191e8a","user_001","toeic_sample_032","b","c","false","3",,,"N/A","2026-07-10T14:29:45.327Z","2026-07-10T14:29:45.327Z"
"601ffe5f-83ca-4907-9551-a32b0b157852","user_001","toeic_sample_033","c","a","false","3",,,"N/A","2026-07-10T14:29:51.307Z","2026-07-10T14:29:51.307Z"
"c751e789-c9f0-4a64-b454-c6459aaab903","user_001","toeic_sample_091","b","b","true","9",,,"N/A","2026-07-10T17:19:41.736Z","2026-07-10T17:19:41.736Z"
"40036d7c-dee8-44f2-9002-0ce3c8dd7d55","user_001","toeic_sample_092","d","a","false","6",,,"N/A","2026-07-10T17:19:47.446Z","2026-07-10T17:19:47.446Z"
"49d64347-04b6-4c4c-a57b-38b3926a16b5","user_001","fe_sample_080","d","a","false","7","unsure",,"シラバスVer.9.2","2026-07-11T09:14:41.891Z","2026-07-11T09:14:41.891Z"
"bb6ba579-52b9-43ce-871f-b2b7ebe268f3","user_001","fe_sample_016","c","a","false","2",,,"シラバスVer.9.2","2026-07-11T09:40:08.873Z","2026-07-11T09:40:08.873Z"
"99c4733f-ea9b-47b9-a881-2eb75328b0a6","user_001","q_fe_r7koukai_09","c","c","true","2",,,"シラバスVer.9.2","2026-07-11T09:40:15.701Z","2026-07-11T09:40:15.701Z"
"2f9da50b-44a2-46a5-8508-304601d1e2fc","user_001","fe_sample_061","c","a","false","1",,,"シラバスVer.9.2","2026-07-11T09:40:18.005Z","2026-07-11T09:40:18.005Z"
"dc2cb97b-1339-4858-8713-d42c06a2dd9e","user_001","fe_sample_084","b","a","false","2",,,"シラバスVer.9.2","2026-07-11T09:40:24.876Z","2026-07-11T09:40:24.876Z"
"f1ffcd78-7576-482c-bf98-ac69c1517ff2","user_001","fe_sample_063","c","b","false","2",,,"シラバスVer.9.2","2026-07-11T09:40:31.827Z","2026-07-11T09:40:31.827Z"
"77cc1215-f4fc-4e0e-9f13-5118b119a4e4","user_001","fe_sample_059","a","a","true","2",,,"シラバスVer.9.2","2026-07-11T09:40:38.386Z","2026-07-11T09:40:38.386Z"
"0c11de94-4175-424a-8262-e8d7c823af90","user_001","fe_sample_037","a","b","false","2",,,"シラバスVer.9.2","2026-07-11T09:40:43.294Z","2026-07-11T09:40:43.294Z"
"44f6771b-5ef1-433b-8a4b-f6f41baacca0","user_001","q_fe_r7koukai_01","c","d","false","2",,,"シラバスVer.9.2","2026-07-11T09:40:51.317Z","2026-07-11T09:40:51.317Z"
"31c81429-fb16-4f1d-a542-1cfb0acbda2a","user_001","fe_sample_089","a","d","false","2",,,"シラバスVer.9.2","2026-07-11T09:40:58.242Z","2026-07-11T09:40:58.242Z"
"9cbbe3c2-0410-4378-be5b-92cb63021fb5","user_001","q_fe_r7koukai_15","a","c","false","2",,,"シラバスVer.9.2","2026-07-11T09:41:05.291Z","2026-07-11T09:41:05.291Z"
"f3d375a5-5987-413e-9767-18195ef48199","user_001","fe_sample_088","a","b","false","2",,,"シラバスVer.9.2","2026-07-11T09:41:12.510Z","2026-07-11T09:41:12.510Z"
"3dc9f02e-bcc5-4476-9c64-4a87d6275697","user_001","fe_sample_022","a","d","false","2",,,"シラバスVer.9.2","2026-07-11T09:41:24.810Z","2026-07-11T09:41:24.810Z"
"9d959c5a-4969-42f5-bb05-d53de4a31da1","user_001","fe_sample_093","a","c","false","2",,,"シラバスVer.9.2","2026-07-11T09:41:30.563Z","2026-07-11T09:41:30.563Z"
"a9b00f72-15a5-4504-936f-412059be8428","user_001","fe_sample_024","a","c","false","2",,,"シラバスVer.9.2","2026-07-11T09:41:37.189Z","2026-07-11T09:41:37.189Z"
"aa1bb9aa-23da-4263-bbea-755fd92a7ba7","user_001","fe_sample_031","a","a","true","1",,,"シラバスVer.9.2","2026-07-11T09:41:45.996Z","2026-07-11T09:41:45.996Z"
"fc81b26e-26c3-4600-bf01-bc3497e29a57","user_001","fe_sample_086","d","c","false","2",,,"シラバスVer.9.2","2026-07-11T09:41:51.957Z","2026-07-11T09:41:51.957Z"
"f20b8367-ed9a-4796-a00a-57abbd017edc","user_001","fe_sample_020","c","a","false","7",,,"シラバスVer.9.2","2026-07-11T09:42:09.295Z","2026-07-11T09:42:09.295Z"
"37f7b53f-f015-48d5-9f3e-73fd386b85ac","user_001","fe_sample_084","a","a","true","2",,,"シラバスVer.9.2","2026-07-11T09:42:22.195Z","2026-07-11T09:42:22.195Z"
"d6c5a812-526f-4c6d-8cb4-fe9464930ee0","user_001","fe_sample_018","a","a","true","2",,,"シラバスVer.9.2","2026-07-11T09:42:25.781Z","2026-07-11T09:42:25.781Z"
"7de905b1-7b7f-4ef2-a645-0f99bb65f8c3","user_001","fe_sample_044","a","c","false","2",,,"シラバスVer.9.2","2026-07-11T09:42:29.067Z","2026-07-11T09:42:29.067Z"
"410e005c-c705-49b0-9c8d-3e0c8a2d3f3e","user_001","q_fe_r7koukai_15","c","c","true","10",,,"シラバスVer.9.2","2026-07-11T10:26:47.820Z","2026-07-11T10:26:47.820Z"
"b85a0711-52d8-49f8-a94b-5d20b2dc363c","user_001","q_fe_r7koukai_16","a","d","false","2",,,"シラバスVer.9.2","2026-07-11T13:58:32.146Z","2026-07-11T13:58:32.146Z"
"d5d7b3c5-909b-41e8-96d9-f3715fac7325","user_001","q_fe_r7koukai_19","b","d","false","7",,,"シラバスVer.9.2","2026-07-11T13:58:44.412Z","2026-07-11T13:58:44.412Z"
