"change_id","exam_type","syllabus_version","change_type","description","old_term","new_term","affected_topic","effective_date","status","affected_question_ids","created_at","updated_at"
"chg_00001","it_passport","シラバスVer.6.5","law_removed","下請法が削除された(試験要綱Ver.5.5と同時公表)","下請法","","企業と法務;下請取引","2026-01-08","identified","","2026-07-06T00:00:00.000Z","2026-07-06T00:00:00.000Z"
"chg_00002","it_passport","シラバスVer.6.5","law_added","中小受託取引適正化法が追加された(試験要綱Ver.5.5と同時公表)","","中小受託取引適正化法","企業と法務;下請取引","2026-01-08","identified","","2026-07-06T00:00:00.000Z","2026-07-06T00:00:00.000Z"
"chg_00003","it_passport","シラバスVer.6.4","term_renamed","「プロバイダ責任制限法」から「情報流通プラットフォーム対処法」へ名称変更。関連説明も、発信者情報開示請求・送信防止措置依頼中心の記載から、侵害情報の削除手続の迅速化・運用状況の透明化等を含む内容へ見直し","プロバイダ責任制限法","情報流通プラットフォーム対処法","ストラテジ系;企業と法務;法務;その他の法律・ガイドライン・情報倫理","2025-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00004","it_passport","シラバスVer.6.4","other","改訂履歴上「ページ12 用語例の追加、用語の見直し・整理」とあるが、上記法令名変更以外の個別の追加・削除用語はIPA公表情報からは特定できない","","","ストラテジ系;企業と法務;法務","2025-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00005","it_passport","シラバスVer.6.3","topic_added","DXを推進するために必要な知識(ビジネス変革、デザイン、データ利活用、AI(生成AI含む)利活用など)を評価するための内容を反映","","","ストラテジ系;経営戦略;システム戦略;DX;データ利活用;AI利活用","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00006","it_passport","シラバスVer.6.3","topic_added","「数理・データサイエンス・AI(応用基礎レベル)モデルカリキュラム」のキーワード等を取込み","","","数理・データサイエンス・AI;データ分析;AI利活用","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00007","it_passport","シラバスVer.6.3","other","情報セキュリティ管理分野において、JIS改正を踏まえた用語などの表記を変更(具体的な旧用語・新用語の対応関係はIPA公表情報からは特定できない)","","","テクノロジ系;セキュリティ;情報セキュリティ管理","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00008","it_passport","シラバスVer.6.3","other","既に出題している用語の取込み、近年の技術動向や環境変化等を踏まえた用語例の整理(個別用語の全量はIPA公表情報からは特定できない)","","","全体","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00009","it_passport","シラバスVer.6.2","topic_added","生成AIの仕組み、活用例、留意事項等に関する項目・用語例を追加","","","テクノロジ系;AI;生成AI;データ利活用;ストラテジ系;DX","2024-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00010","it_passport","シラバスVer.6.2","other","近年の動向等を踏まえた用語例などの整理(生成AI以外の個別追加・削除用語の全量はIPA公表情報からは特定できない)","","","全体","2024-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00011","it_passport","シラバスVer.6.1","other","経済産業省の「システム監査基準」及び「システム管理基準」の改訂を踏まえ、システム監査分野の表記を変更","","","マネジメント系;サービスマネジメント;システム監査","2023-11-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00012","it_passport","シラバスVer.6.1","other","その他、用語の整理等。IPAは「試験で問う知識・技能の範囲そのものに変更はない」と説明している","","","全体、特にシステム監査関連","2023-11-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00013","it_passport","シラバスVer.6.0","topic_added","高等学校の共通必履修科目「情報Ⅰ」に基づいた内容として、プログラミング的思考力、情報デザイン、データ利活用等を追加","","","テクノロジ系;アルゴリズムとプログラミング;情報デザイン;データ利活用","2022-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00014","it_passport","シラバスVer.6.0","topic_added","プログラミング的思考力を問う擬似言語を用いた出題を追加。情報デザイン、データ利活用のための技術・考え方を問う出題を強化","","","テクノロジ系;アルゴリズムとプログラミング;情報デザイン;データ利活用","2022-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00015","it_passport","シラバスVer.6.0","topic_added","「情報Ⅰ」に関連する項目・用語例を追加。なお情報モラル(情報倫理)は前回改訂(Ver.5.0)で先行追加済みとIPAが説明","","","情報モラル;情報倫理;情報活用能力","2022-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00016","it_passport","シラバスVer.5.0","other","項目構成を整理し、数理・データサイエンス・AIに関する記述を整理","","","数理・データサイエンス・AI;データ利活用;AI","2020-09-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00017","it_passport","シラバスVer.5.0","topic_added","情報モラル(情報倫理)を先行追加","","","情報倫理;情報モラル;法務・セキュリティ関連","2020-09-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00018","it_passport","シラバスVer.5.0","other","用語例の追加、用語の見直し・整理(個別の追加・削除用語はIPA公表情報からは特定できない)","","","全体","2020-09-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00019","it_passport","シラバスVer.4.1","other","ページ25・26の用語例の追加、用語の見直し・整理(個別の追加・削除用語はIPA公表情報からは特定できない)","","","","2020-05-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00020","it_passport","シラバスVer.4.0","other","全体の用語例の追加、用語の見直し・整理(個別の追加・削除用語はIPA公表情報からは特定できない)","","","全体","2018-08-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00021","it_passport","シラバスVer.3.0","other","全体の用語例の追加、用語の見直し・整理(個別の追加・削除用語はIPA公表情報からは特定できない)","","","全体","2015-05-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00022","it_passport","シラバスVer.2.0","other","用語例・活用例の追加、用語の見直し・整理。サンプル問題を削除","","","全体","2012-05-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00023","it_passport","シラバスVer.1.1","topic_added","項目構成を整理し、「システム活用促進・評価」を追加","","","ストラテジ系;システム戦略;システム活用促進・評価","2008-10-27","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00024","it_passport","シラバスVer.1.1","other","用語例の追加、用語の見直し・整理、サンプル問題追加(個別の追加・削除用語はIPA公表情報からは特定できない)","","","全体","2008-10-27","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00025","fe","シラバスVer.9.2","law_removed","下請法が削除された","下請法","","ストラテジ系;企業と法務;法務;取引関連法規","2026-01-08","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00026","fe","シラバスVer.9.2","law_added","中小受託取引適正化法が追加された","","中小受託取引適正化法","ストラテジ系;企業と法務;法務;取引関連法規","2026-01-08","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00027","fe","シラバスVer.9.1","term_renamed","「プロバイダ責任制限法」を削除し「情報流通プラットフォーム対処法」を追加。適用日はIPA公式情報からは特定できず、シラバスVer.9.1の掲載日(2025年4月17日)を暫定的に使用","プロバイダ責任制限法","情報流通プラットフォーム対処法","ストラテジ系;企業と法務;法務;セキュリティ関連法規;ネットワーク関連法規","2025-04-17","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00028","fe","シラバスVer.9.0","topic_added","DXを推進するために必要な知識として、ビジネス変革、デザイン、データ利活用、AI・生成AI利活用などを評価するための内容を反映","","","ストラテジ系;経営戦略;企業活動;業務分析・データ利活用;テクノロジ系;AI;データ分析","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00029","fe","シラバスVer.9.0","topic_added","「数理・データサイエンス・AI(応用基礎レベル)モデルカリキュラム」のキーワード等を取込み","","","数理・データサイエンス・AI;データ利活用;AI利活用","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00030","fe","シラバスVer.9.0","other","情報セキュリティ管理分野において、JIS改正を踏まえた用語などの表記を変更(具体的な旧用語・新用語の対応関係はIPA公表情報からは特定できない)","","","テクノロジ系;セキュリティ;情報セキュリティ管理","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00031","fe","シラバスVer.9.0","other","既に出題している用語の取込み、近年の技術動向や環境変化等を踏まえた用語例の整理(個別用語の全量はIPA公表情報からは特定できない)","","","全体","2024-10-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00032","fe","シラバスVer.8.0","other","基本情報技術者試験を通年試験化し、試験構成を「科目A試験」「科目B試験」へ変更","","","試験全体;科目A;科目B","2023-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00033","fe","シラバスVer.8.0","other","科目A試験の出題範囲は、従来の午前試験に準じる構成へ変更","","","科目A;旧午前試験相当","2023-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00034","fe","シラバスVer.8.0","other","科目B試験は、「情報セキュリティ」と「データ構造及びアルゴリズム」を中心とする構成へ変更(重点化)","","","科目B;情報セキュリティ;データ構造及びアルゴリズム","2023-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00035","fe","シラバスVer.8.0","topic_removed","旧午後試験の個別プログラム言語による出題を廃止し、科目Bでは擬似言語による出題へ統一","","","科目B;アルゴリズムとプログラミング","2023-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00036","fe","シラバスVer.7.2","other","情報処理に関する主要なJIS改正に伴い、システム開発技術分野の構成・表記を変更","","","テクノロジ系;開発技術;システム開発技術","2022-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"chg_00037","fe","シラバスVer.7.2","other","その他、シラバス用語例などを整理。試験で問う知識・技能の範囲そのものに大きな変更があったとは確認できない","","","全体、特にシステム開発技術分野","2022-04-01","identified","","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
