"exam_type","syllabus_version","valid_from","valid_until","is_current","description","change_summary","created_at","updated_at"
"it_passport","シラバスVer.1.0","2008-06-26","2008-10-26","false","ITパスポート試験シラバス Ver.1.0(初版、IPA公表日2008年6月26日)","初版","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.1.1","2008-10-27","2012-04-30","false","ITパスポート試験シラバス Ver.1.1(初版後の構成整理版、IPA公表日2008年10月27日)","項目構成を整理し、「システム活用促進・評価」を追加。用語例追加・用語見直し・整理、サンプル問題追加","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.2.0","2012-05-01","2015-04-30","false","ITパスポート試験シラバス Ver.2.0(Ver.1.1後の用語・活用例見直し版)。※適用開始日は改訂履歴上「平成24年5月」のみ判明。正確な日付は不明のため月初(1日)を暫定設定","全体の用語例・活用例追加、用語見直し・整理、サンプル問題を削除","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.3.0","2015-05-01","2018-07-31","false","ITパスポート試験シラバス Ver.3.0(Ver.2.0後の用語見直し版)。※適用開始日は改訂履歴上「平成27年5月」のみ判明。正確な日付は不明のため月初(1日)を暫定設定","全体の用語例追加、用語見直し・整理","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.4.0","2018-08-01","2020-04-30","false","ITパスポート試験シラバス Ver.4.0(Ver.3.0後の用語見直し版)。※適用開始日は改訂履歴上「平成30年8月」のみ判明。正確な日付は不明のため月初(1日)を暫定設定","全体の用語例追加、用語見直し・整理","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.4.1","2020-05-01","2020-08-31","false","ITパスポート試験シラバス Ver.4.1(Ver.4.0後の用語見直し版)。※適用開始日は改訂履歴上「令和2年5月」のみ判明。正確な日付は不明のため月初(1日)を暫定設定","ページ25・26の用語例追加、用語見直し・整理","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.5.0","2020-09-01","2022-03-31","false","ITパスポート試験シラバス Ver.5.0(数理・データサイエンス・AI関連の記述を整理した改訂)。※適用開始日は改訂履歴上「令和2年9月」のみ判明。正確な日付は不明のため月初(1日)を暫定設定","項目の構成を整理。数理・データサイエンス・AIに関する記述を整理。用語例追加・用語見直し・整理。情報モラル(情報倫理)を先行追加","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.6.0","2022-04-01","2023-10-31","false","ITパスポート試験シラバス Ver.6.0(高等学校の共通必履修科目「情報Ⅰ」への対応を含む改訂)","プログラミング的思考力、情報デザイン、データ利活用等に関連する項目・用語例を追加。擬似言語を用いた出題追加、情報デザイン・データ利活用の出題強化","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.6.1","2023-11-01","2024-03-31","false","ITパスポート試験シラバス Ver.6.1(システム監査基準等の改訂に対応した改訂)。※適用開始日は「2023年11月の試験から」のみ判明。正確な日付は不明のため月初(1日)を暫定設定","システム監査基準・システム管理基準の改訂を踏まえた表記変更。IPAは、試験で問う知識・技能の範囲そのものに変更はないと説明","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.6.2","2024-04-01","2024-09-30","false","ITパスポート試験シラバス Ver.6.2(生成AIに関する項目・用語例を追加した改訂)。※適用開始日は「2024年4月の試験から」のみ判明。正確な日付は不明のため月初(1日)を暫定設定","生成AIの仕組み、活用例、留意事項等に関する項目・用語例を追加。その他、近年の動向等を踏まえた用語例整理","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.6.3","2024-10-01","2025-03-31","false","ITパスポート試験シラバス Ver.6.3(近年の技術動向・環境変化を踏まえた改訂)。※適用開始日は「2024年10月の試験(CBT方式)から」のみ判明。正確な日付は不明のため月初(1日)を暫定設定","DX、ビジネス変革、デザイン、データ利活用、AI利活用、数理・データサイエンス・AIモデルカリキュラムのキーワード取込み、JIS改正を踏まえた情報セキュリティ管理分野の表記変更等","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.6.4","2025-04-01","2026-01-07","false","ITパスポート試験シラバス Ver.6.4(Ver.6.3後の用語見直し版)。※適用開始日は改訂履歴上「令和7年4月」のみ判明。正確な日付は不明のため月初(1日)を暫定設定","ページ12の用語例追加・用語見直し・整理。「プロバイダ責任制限法」から「情報流通プラットフォーム対処法」へ変更","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"it_passport","シラバスVer.6.5","2026-01-08",,"true","ITパスポート試験シラバス Ver.6.5(IPA公表、2026年1月8日付)","下請法を削除し、中小受託取引適正化法を追加(試験要綱Ver.5.5と同時公表)","2026-07-05T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"fe","シラバスVer.7.2","2022-04-01","2023-03-31","false","基本情報技術者試験シラバス Ver.7.2(システム開発技術分野のJIS改正に対応した改訂)","JIS X 0160:2021(ソフトウェアライフサイクルプロセス)を踏まえた構成・表記の変更。その他、シラバス用語例などの整理。IPAは知識・技能の範囲そのものに変更はないと説明","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"fe","シラバスVer.8.0","2023-04-01","2024-09-30","false","基本情報技術者試験シラバス Ver.8.0(通年試験化、科目A・科目B化に対応したシラバス)。※適用開始日は「2023年4月から開始する変更後のFEで使用される想定」との記載に基づく暫定値","午前／午後から科目A／科目Bへ。科目Aは従来の午前試験に準じる。科目Bは「情報セキュリティ」と「データ構造及びアルゴリズム(擬似言語)」中心へ変更。個別プログラム言語による出題を擬似言語へ統一","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"fe","シラバスVer.9.0","2024-10-01","2025-04-16","false","基本情報技術者試験シラバス Ver.9.0(近年の技術動向・環境変化を踏まえた大きめの改訂)","DX、ビジネス変革、デザイン、データ利活用、AI・生成AI利活用、数理・データサイエンス・AIモデルカリキュラムのキーワード取込み、JIS改正を踏まえた情報セキュリティ管理分野の表記変更等","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"fe","シラバスVer.9.1","2025-04-17","2026-01-07","false","基本情報技術者試験シラバス Ver.9.1(Ver.9.0後の法令名見直し版)。※適用開始日はIPAページ上の掲載日(2025年4月17日)であり、実際の適用日とは異なる可能性がある","「プロバイダ責任制限法」を削除し、「情報流通プラットフォーム対処法」を追加","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
"fe","シラバスVer.9.2","2026-01-08",,"true","基本情報技術者試験シラバス Ver.9.2(現行のシラバス)。※適用開始日はIPAページ上の掲載日(2026年1月8日)であり、実際の適用日とは異なる可能性がある","「下請法」を削除し、「中小受託取引適正化法」を追加","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z"
